has_preamble,preamble_text,question,answer,subject,question_type,form,difficulty,subject_topic
No,,A particle of mass $2.0 \times 10^{-11} \mathrm{~kg}$ carrying a net charge of $5.0 \times 10^{-18} \mathrm{C}$ is released in a uniform electric field of magnitude $8.0 \times 10^{6} \mathrm{Vm}^{-1}$. Find the speed of the particle after $2.0 \mathrm{~s}$.,"$4.0 \mathrm{~ms}^{-1}$
$$
v=q E t / m=5.0 \times 10^{-18} \mathrm{C} \times 8.0 \times 10^{6} \mathrm{Vm}^{-1} \times 2.0 \mathrm{~s} /\left(2.0 \times 10^{-11} \mathrm{~kg}\right)=4.0 \mathrm{~m} \mathrm{~s}^{-1}
$$",Physics,1,NY,NY,NY
No,,A pollen grain of mass $6.0 \times 10^{-11} \mathrm{~kg}$ carries a net charge of magnitude $1.3 \times 10^{-18} \mathrm{C}$. Find the speed of the grain $8.0 \mathrm{~s}$ after it is released in a uniform $5.0 \times 10^{7} \mathrm{Vm}^{-1}$ electric field.,"$8.7 \mathrm{~ms}^{-1}$
$$
v=q E t / m=1.3 \times 10^{-18} \mathrm{C} \times 5.0 \times 10^{7} \mathrm{Vm}^{-1} \times 8.0 \mathrm{~s} /\left(6.0 \times 10^{-11} \mathrm{~kg}\right)=8.7 \mathrm{~m} \mathrm{~s}^{-1}
$$",Physics,1,NY,NY,NY
No,,Another pollen grain also of mass $6.0 \times 10^{-11} \mathrm{~kg}$ carries a net charge of magnitude $1.8 \times 10^{-18} \mathrm{C}$. Find the speed of the grain $12 \mathrm{~s}$ after it is released in the uniform $5.0 \times 10^{7} \mathrm{Vm}^{-1}$ electric field.,"$18 \mathrm{~ms}^{-1}$
$$
v=q E t / m=1.8 \times 10^{-18} C \times 5.0 \times 10^{7} \mathrm{Vm}^{-1} \times 12 \mathrm{~s} /\left(6.0 \times 10^{-11} \mathrm{~kg}\right)=18 \mathrm{~m} \mathrm{~s}^{-1}
$$",Physics,1,NY,NY,NY
No,,An object of mass $2.0 \mathrm{~kg}$ moving along the $x$-axis with a velocity of $5.0 \mathrm{~m} \mathrm{~s}^{-1}$ collides with an object of mass $1.0 \mathrm{~kg}$ moving along the $x$-axis with a velocity of $-8.0 \mathrm{~m} \mathrm{~s}^{-1}$ and the $1.0 \mathrm{~kg}$ object moves at $1.0 \mathrm{~m} \mathrm{~s}^{-1}$ after the collision. What is the velocity of the $2.0 \mathrm{~kg}$ object after the collision?,"$0.50 \mathrm{~ms}^{-1}$
$$
v_{1}=\left(m_{1} u_{1}+m_{2} u_{2}-m_{2} v_{2}\right) / m_{1}=\left[2.0 \mathrm{~kg} \times 5.0 \mathrm{~ms}^{-1}+1.0 \mathrm{~kg} \times\left(-8.0 \mathrm{~ms}^{-1}-1.0 \mathrm{~ms}^{-1}\right)\right] /(2.0 \mathrm{~kg})=0.50 \mathrm{~ms}^{-1}
$$",Physics,1,NY,NY,NY
No,,Another object of mass $2.0 \mathrm{~kg}$ moving along the $x$-axis with a velocity of $15 \mathrm{~m} \mathrm{~s}^{-1}$ collides with an object of mass $1.0 \mathrm{~kg}$ moving along the $x$-axis with a velocity of $-8.0 \mathrm{~m} \mathrm{~s}^{-1}$ and the $1.0 \mathrm{~kg}$ object moves at $4.0 \mathrm{~m} \mathrm{~s}^{-1}$ after the collision. Find the velocity of the $2.0 \mathrm{~kg}$ object after the collision.,"$9.0 \mathrm{~m} \mathrm{~s}^{-1}$
$$
v_{1}=\left(m_{1} u_{1}+m_{2} u_{2}-m_{2} v_{2}\right) / m_{1}=\left[2.0 \mathrm{~kg} \times 15 \mathrm{~ms}^{-1}+1.0 \mathrm{~kg} \times\left(-8.0 \mathrm{~ms}^{-1}-4.0 \mathrm{~m} \mathrm{~s}^{-1}\right)\right] /(2.0 \mathrm{~kg})=9.0 \mathrm{~m} \mathrm{~s}^{-1}
$$",Physics,1,NY,NY,NY
No,,A $4.0 \mathrm{~kg}$ object moving along the $x$-axis with a velocity of $2.5 \mathrm{~m} \mathrm{~s}^{-1}$ collides with a $3.0 \mathrm{~kg}$ object moving along the $x$-axis with a velocity of $-1.0 \mathrm{~m} \mathrm{~s}^{-1}$ and the $3.0 \mathrm{~kg}$ object moves at $1.2 \mathrm{~m} \mathrm{~s}^{-1}$ after the collision. Find the velocity of the $4.0 \mathrm{~kg}$ object after the collision.,"$0.40 \mathrm{~m} \mathrm{~s}^{-1}$
$$
v_{1}=\left(m_{1} u_{1}+m_{2} u_{2}-m_{2} v_{2}\right) / m_{1}=\left[4.0 \mathrm{~kg} \times 2.5 \mathrm{~m} \mathrm{~s}^{-1}+3.0 \mathrm{~kg} \times\left(-1.6 \mathrm{~ms}^{-1}-1.2 \mathrm{~m} \mathrm{~s}^{-1}\right)\right] /(4.0 \mathrm{~kg})=0.40 \mathrm{~m} \mathrm{~s}^{-1}
$$",Physics,1,NY,NY,NY
No,,"If the configuration of the valence electrons of an element is $4 s^{2} 3 d^{6}$, what is its atomic number?",26. $\left[1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 4 s^{2} 3 d^{6}\right]$,Chemistry,1,NY,NY,NY
No,,What is the atomic number of an element whose configuration of the valence electrons is $4 s^{2} 4 p^{3}$ ?,33. $\left[1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 4 s^{2} 3 d^{10} 4 p^{3}\right]$,Chemistry,1,NY,NY,NY
No,,"If the atomic number of an element is 55, what is the electron configuration of its valence shell?",$\quad 6 s^{1} . \quad\left[1 s^{2} 2 s^{2} 2 p^{6} 3 s^{2} 3 p^{6} 4 s^{2} 3 d^{10} 4 p^{6} 5 s^{2} 4 d^{10} 5 p^{6} 6 s^{1}\right]$,Chemistry,1,NY,NY,NY
No,,"Calculate the volume in $\mathrm{cm}^{3}$ of 16.0 moldm ${ }^{-3}$ ethanoic acid needed to prepare $500 \mathrm{~cm}^{3}$ of $2.50 \mathrm{moldm}^{-3}$
solution of the acid.","Use the expression; $M_{1} V_{1}=M_{2} V_{2} ;$ where
$\mathrm{M}_{1}=16.0 \mathrm{moldm}^{-3} ; \mathrm{V}_{1}=? ; \mathrm{M}_{2}=2.50 \mathrm{moldm}^{-3} ; \mathrm{V}_{2}=500 \mathrm{~cm}^{3}$.
The volume of the acid needed, $\mathrm{V}_{1}=\frac{2.50 \times 500}{16.0}=78.1 \mathrm{~cm}^{3}$",Chemistry,1,NY,NY,NY
