has_preamble,preamble_text,question,answer,subject,subject_topic,form,difficulty,question_type
No,None,A particle of mass $m$ moves in a circular orbit of radius $r$ in the $x y$ plane with angular frequency $\omega$. Find the total mechanical energy of the particle.,$E=m \omega^{2} r^{2} / 2$<|end_of_text|><|begin_of_text|>,,Uniform and Non Uniform Circular Motion,,,1
Yes,Find the force on the object if the acceleration of the object is,$20 \mathrm{~m} / \mathrm{s}^{2}$.,$20 \mathrm{~N}$,,,,,1
No,None,"A point charge of $5 \mathrm{~mC}$ is placed at the origin of a rectangular coordinate system. Find the magnitude and direction of the electric field at the point $(3.0 \mathrm{~m}, 2.0 \mathrm{~m})$.",$\quad \mathbf{E}=-8.0 \times 10^{-4} \mathrm{~N} / \mathrm{C} \mathbf{i}+3.0 \times 10^{-4} \mathrm{~N} / \mathrm{C} \mathbf{j}$,Physics,,,,1
No,None,What is a cell's nucleus called when it is not the nucleus of a cell?,Nucleoid<|end_of_text|>,,,,,1
No,None,What is the name given to the first pair of legs of an insect?,Prothoracic legs<|end_of_text|>,Biology,,,,1
No,None,A type of plant that has a large root system that extends deep into the soil is called a,Taproot plant<|end_of_text|>,,,,,1
No,None,The ability of an organism to live in an environment where the concentration of salt is high is called,Halotolerance<|end_of_text|>,Biology,,,,1
No,None,The common name of the plant with the scientific name is given,,Biology,,,,1
No,None,The common name of the plant with the scientific name is given,,Biology,,,,1
No,None,The most common species of the genus Homo is,Homo sapiens<|end_of_text|>,Biology,,,,1
No,None,"An element has the atomic number 10. What is its atomic mass?
 Clue 1: It is a metal
 Clue 2: It is a member of the first transition series
 Clue 3: It has a high melting point
 Clue 4: It has a high boiling point",Neodymium<|end_of_text|>,,,,,5
No,None,Which of the following has the lowest boiling point?,Methane<|end_of_text|>,Chemistry,,,,1
No,None,"Name the reaction that occurs when a metal is heated in air.
 Clue 1: The metal loses electrons to form the metal ion.
 Clue 2: The metal ion combines with oxygen to form the metal oxide.
 Clue 3: The metal oxide is formed on the surface of the metal.
 Clue 4: The metal oxide is formed in a chemical reaction.",Oxidation<|end_of_text|>,,,,,5
No,None,The product of the atomic mass of an element and its atomic number is equal to the mass number of the element.,True<|end_of_text|>,,,,,4
No,None,"What can be used to find the frequency of a tuning fork?
 Clue 1: It is a device that measures the frequency of a vibrating object
 Clue 2: It has a dial face
 Clue 3: It has a handle
 Clue 4: It has a prong",Tuning fork<|end_of_text|>,,,,,5
